id,link,content,start_time,end_time,programme_id,programme_date
"EBR9IW8B9QO-ETTBO1Fs","http://www.rtve.es/v/5469562/?t=00h49m41s","Chuwaka y los robots son los únicos que no envejecen y ojo a estebeso, el de Leia y Han.",2981,2985,5469562,"2019-12-19T15:00:00+00:00"
"ohTRHG8B9QO-ETTBTEm3","http://www.rtve.es/v/5467335/?t=00h32m09s","""Jóvenes, personas mayores, familias... y todos aquellos que se desplazan por carretera vengan al ferrocarril"" ""Si están a ese precio yo sí que lo cogería y me iría en AVE"" ""Más de una vez he cogido el autobús porque es más económico, entonces yo creo que sí que va a ayudar a que la gente se anime a coger el AVE"".",1929,1934,5467335,"2019-12-16T21:00:00+00:00"
"BGeKDm8BPmmmc_Kh5J0t","http://www.rtve.es/v/5466115/?t=00h39m31s","Para las personas mayores es fundamental mantenerse activos, relacionarse e incluso cumplir sueños de la infancia.",2371,2375,5466115,"2019-12-14T15:00:00+00:00"
"PGeKDm8BPmmmc_Kh2Jti","http://www.rtve.es/v/5463972/?t=00h36m13s","Lo que piden es que las personas más vulnerables, menos pequeños, personas mayores y con problemas respiratorios, pasé el mínimo tiempo posible en la calle.",2173,2176,5463972,"2019-12-11T15:00:00+00:00"
"S7RO7m4Bl1lLyrCzP-An","http://www.rtve.es/v/5461083/?t=00h44m43s","La prensa británica no ahorra elogios y destaca la frescura de un veterano grupo que se niega a envejecer con amargura.",2683,2687,5461083,"2019-12-06T15:00:00+00:00"
"A3P_xm4B0RDDG74Kh_j6","http://www.rtve.es/v/5457132/?t=00h24m37s","""Por ser VIH envejecemos 10 años más... dentro de 5 años no sabemos si estaremos como los abuelos con bastón"".",1477,1481,5457132,"2019-12-01T15:00:00+00:00"
"PXP_xm4B0RDDG74KmPrv","http://www.rtve.es/v/5456569/?t=00h44m03s","-Si puedo dar un ejemplo a alguien de algo es de saber envejecer con dignidad.",2643,2647,5456569,"2019-11-29T21:00:00+00:00"
"9m3ftW4B5vX9GyaK1AC5","http://www.rtve.es/v/5455419/?t=00h22m49s","12 años analizando a 95 millones de personas mayores de 65 anos han servido para demostrar que cuando las partículas contaminantes con diámetro inferior a 2,5 micrómetros suben, provocan al dia siguiente un claro aumento de ingresos hospitalarios.",1369,1373,5455419,"2019-11-28T15:00:00+00:00"
"NW3ftW4B5vX9GyaK1QHH","http://www.rtve.es/v/5455419/?t=00h31m15s","A esta hora se investiga si era un conductor ""kamikaze"" En Bilbao una escultura hiperrealista invita a reflexionar sobre la soledad de las personas mayores.",1875,1879,5455419,"2019-11-28T15:00:00+00:00"
"d2zftW4B5vX9GyaKxP14","http://www.rtve.es/v/5454754/?t=00h17m12s","El envejecimiento de la población y el aumento de la esperanza devida según este organismo, hacen necesarias reformas que garanticen su viabilidad.",1032,1036,5454754,"2019-11-27T21:00:00+00:00"
"FGzftW4B5vX9GyaKsfo6","http://www.rtve.es/v/5454580/?t=00h13m10s","El organismo internacional analiza las debilidades del sistema, y pone el foco en el rápido envejecimiento de la población y el aumento de la esperanza de vida.",790,793,5454580,"2019-11-27T15:00:00+00:00"
"gGzftW4B5vX9GyaKKt8y","http://www.rtve.es/v/5452916/?t=00h45m43s","Entre los 6 premiados, la científica Pura Muñoz-Cánoves, experta en el envejecimiento muscular o el físico, José Antonio Sobrino, líder en el terreno de la protección ambiental.",2743,2747,5452916,"2019-11-25T15:00:00+00:00"
"tWzetW4B5vX9GyaKn84l","http://www.rtve.es/v/5450359/?t=00h20m56s","-Yel más longevo.",1256,1259,5450359,"2019-11-21T15:00:00+00:00"
"XWzetW4B5vX9GyaKg8hc","http://www.rtve.es/v/5434690/?t=00h31m04s","Según datos de la DGT nuestro parque móvil es uno de los más envejecidos de la Unión Europea.",1864,1867,5434690,"2019-11-05T15:00:00+00:00"
"QWzetW4B5vX9GyaKasL-","http://www.rtve.es/v/5430890/?t=00h55m01s","Ni él, ni el mas optimista de sus admiradores podía pensar que iba a completar una carrera tan brillante y tan longeva.",3301,3306,5430890,"2019-11-01T21:00:00+00:00"
"VW3gtW4B5vX9GyaKRh3n","http://www.rtve.es/v/5429106/?t=00h56m47s","""Demostrar a todas las personas mayores de 50 años que mientras hay retos, vida y pasión, hay vida"".",3407,3411,5429106,"2019-10-31T21:00:00+00:00"
"FG3gtW4B5vX9GyaKBw33","http://www.rtve.es/v/5425031/?t=00h37m13s","A lo largo de la mañana, hemos visto como han pasado muchas personas mayores, muchos de ellos tenían cita con su médico de cabecera.",2233,2235,5425031,"2019-10-28T15:00:00+00:00"
"HW3gtW4B5vX9GyaKCA0S","http://www.rtve.es/v/5425031/?t=00h38m13s","El año pasado se vacunaron el 54 % de las personas mayores de 65años.",2293,2298,5425031,"2019-10-28T15:00:00+00:00"
"ImzetW4B5vX9GyaKYcDk","http://www.rtve.es/v/5424134/?t=00h33m07s","El desafío comenzó hace dos años para llevar talento a los pueblos, y luchar contra su incesante envejecimiento.",1987,1991,5424134,"2019-10-27T15:00:00+00:00"
"dG3ftW4B5vX9GyaK3gO5","http://www.rtve.es/v/5423321/?t=00h35m06s","Según el Instituto Nacional de Estadística, más de un millón de personas mayores de 65 años viven solas y sufren la soledad.",2106,2109,5423321,"2019-10-25T21:00:00+00:00"
"e2zftW4B5vX9GyaKTeWe","http://www.rtve.es/v/5423116/?t=00h02m05s","Las asociaciones piden más ayudas para el acompañamiento de las personas mayores.",125,128,5423116,"2019-10-25T15:00:00+00:00"
"NG3gtW4B5vX9GyaKTx86","http://www.rtve.es/v/5420590/?t=00h08m04s","También han desaparecido 2 personas, mayores de 70 años, conducían un vehículo.",484,487,5420590,"2019-10-23T15:00:00+00:00"
"Nm3ftW4B5vX9GyaK8ghP","http://www.rtve.es/v/5419216/?t=00h35m44s","Los chilenos, nos comentan, no tienen miedo a morir, sino a envejecer o enfermar.",2144,2148,5419216,"2019-10-22T21:00:00+00:00"
"ng08-W0BCKkHyZ2vYILh","http://www.rtve.es/v/5415820/?t=00h41m58s","Asturias y toda España, que viven el despoblamiento y el envejecimiento de zonas rurales, ciertamente deben encontrar en vuestra actitud y en vuestro caracter emprendedor, caminos para solventar un problema tan grave cuyas consecuencias nos afectan a todos en España.",2518,2521,5415820,"2019-10-19T15:00:00+00:00"
"6w5A-W0BCKkHyZ2vS1_d","http://www.rtve.es/v/5413370/?t=00h36m52s","Estos telómeros, lo que hacen, es proteger a las células del daño y los telómeros se acortan conforme envejecemos.",2212,2214,5413370,"2019-10-17T15:00:00+00:00"
"7A5A-W0BCKkHyZ2vS1_h","http://www.rtve.es/v/5413370/?t=00h36m59s","Nosotros lo que hacemos es generar ratones que ya tienen telómeros más largos cuando nacen y, por tanto, hace que tengan una mayor longevidad.",2219,2221,5413370,"2019-10-17T15:00:00+00:00"
